ts_entry,ts_exit,direction,entry,stop,target,rr,outcome,bars_to_outcome,mfe,mae,r_result,balance_before,balance_after,cash_result
2025-08-05 05:29:00,2025-08-05 05:32:00,bearish,1.15596,1.15618,1.1556960000000003,1.2,win,3.0,1.2272727272733237,-0.0454545454538573,1.2,6502.998092071161,6581.034069176016,78.03597710485393
2025-08-05 05:39:00,,bullish,1.15597,1.15563,1.156378,1.2,timeout,,0.5588235294121489,-0.6470588235290661,0.0,6581.034069176016,6581.034069176016,0.0
2025-08-05 05:49:00,2025-08-05 05:52:00,bearish,1.15585,1.15596,1.155718,1.2,loss,3.0,0.09090909090964143,-2.0909090909076227,-1.0,6581.034069176016,6515.223728484256,-65.81034069176016
2025-08-05 05:59:00,2025-08-05 06:05:00,bullish,1.15605,1.1559,1.15623,1.2,loss,6.0,0.6666666666661732,-1.6666666666661731,-1.0,6515.223728484256,6450.071491199414,-65.15223728484256
2025-08-05 06:09:00,2025-08-05 06:20:00,bullish,1.15614,1.15581,1.1565359999999998,1.2,loss,11.0,0.0303030303032342,-1.0303030303032341,-1.0,6450.071491199414,6385.57077628742,-64.50071491199414
2025-08-05 06:19:00,2025-08-05 06:20:00,bullish,1.15601,1.15592,1.156118,1.2,loss,1.0,1.0,-2.3333333333358004,-1.0,6385.57077628742,6321.715068524546,-63.855707762874204
2025-08-05 06:29:00,2025-08-05 06:45:00,bullish,1.15579,1.15552,1.156114,1.2,win,16.0,1.3333333333330593,-0.925925925926261,1.2,6321.715068524546,6397.575649346841,75.86058082229455
2025-08-05 06:39:00,2025-08-05 06:40:00,bearish,1.15575,1.15582,1.155666,1.2,loss,1.0,0.0,-2.2857142857129262,-1.0,6397.575649346841,6333.599892853373,-63.97575649346841
2025-08-05 06:49:00,2025-08-05 06:54:00,bearish,1.15594,1.15606,1.1557959999999998,1.2,win,5.0,1.333333333331483,-0.5833333333328707,1.2,6333.599892853373,6409.603091567613,76.00319871424047
2025-08-05 06:59:00,,bearish,1.15556,1.15599,1.1550439999999997,1.2,timeout,,0.34883720930190526,-0.4418604651164352,0.0,6409.603091567613,6409.603091567613,0.0
2025-08-05 07:09:00,2025-08-05 07:13:00,bearish,1.15555,1.1557,1.1553700000000002,1.2,loss,4.0,0.8000000000014803,-1.0,-1.0,6409.603091567613,6345.507060651937,-64.09603091567612
2025-08-05 07:19:00,2025-08-05 07:25:00,bullish,1.15568,1.15551,1.1558840000000001,1.2,loss,6.0,0.4705882352932725,-1.1176470588242977,-1.0,6345.507060651937,6282.051990045417,-63.45507060651937
2025-08-05 07:29:00,2025-08-05 07:34:00,bullish,1.1556,1.1555,1.1557199999999999,1.2,win,5.0,1.400000000000444,-0.19999999999911183,1.2,6282.051990045417,6357.436613925963,75.384623880545
2025-08-05 07:39:00,2025-08-05 07:43:00,bullish,1.15587,1.15562,1.1561699999999997,1.2,loss,4.0,0.6400000000001066,-1.1600000000002486,-1.0,6357.436613925963,6293.862247786703,-63.57436613925963
2025-08-05 07:49:00,2025-08-05 07:50:00,bearish,1.15585,1.15593,1.1557540000000002,1.2,loss,1.0,0.25000000000208167,-1.2500000000020817,-1.0,6293.862247786703,6230.923625308836,-62.93862247786703
2025-08-05 07:59:00,2025-08-05 08:01:00,bearish,1.15583,1.15595,1.1556859999999998,1.2,win,2.0,2.4166666666634287,0.0,1.2,6230.923625308836,6305.694708812542,74.77108350370602
2025-08-05 08:09:00,2025-08-05 08:12:00,bullish,1.15559,1.15551,1.1556859999999998,1.2,win,3.0,1.7500000000034694,-0.624999999999653,1.2,6305.694708812542,6381.363045318292,75.6683365057505
2025-08-05 08:19:00,2025-08-05 08:35:00,bearish,1.15521,1.15566,1.1546700000000003,1.2,win,16.0,1.4000000000007895,-0.6888888888892069,1.2,6381.363045318292,6457.9394018621115,76.5763565438195
2025-08-05 08:29:00,2025-08-05 08:31:00,bullish,1.15542,1.15521,1.1556719999999996,1.2,loss,2.0,0.238095238095943,-1.0,-1.0,6457.9394018621115,6393.36000784349,-64.57939401862112
2025-08-05 08:39:00,2025-08-05 08:40:00,bullish,1.15463,1.15452,1.154762,1.2,win,1.0,1.7272727272710757,0.0,1.2,6393.36000784349,6470.080327937612,76.72032009412187
2025-08-05 08:49:00,2025-08-05 08:50:00,bullish,1.15496,1.15479,1.155164,1.2,loss,1.0,0.0,-1.0588235294121489,-1.0,6470.080327937612,6405.379524658236,-64.70080327937612
2025-08-05 08:59:00,2025-08-05 09:00:00,bearish,1.15481,1.1549,1.1547019999999997,1.2,win,1.0,5.888888888878472,0.0,1.2,6405.379524658236,6482.244078954134,76.86455429589883
2025-08-05 09:09:00,2025-08-05 09:12:00,bullish,1.15483,1.15468,1.15501,1.2,loss,3.0,0.3999999999994079,-1.399999999999408,-1.0,6482.244078954134,6417.421638164593,-64.82244078954135
2025-08-05 09:19:00,2025-08-05 09:20:00,bearish,1.15502,1.15512,1.1549,1.2,loss,1.0,0.0,-3.800000000000888,-1.0,6417.421638164593,6353.247421782947,-64.17421638164593
2025-08-05 09:29:00,2025-08-05 09:43:00,bearish,1.15557,1.15599,1.155066,1.2,win,14.0,1.4523809523806503,0.0,1.2,6353.247421782947,6429.486390844342,76.23896906139535
2025-08-05 09:39:00,2025-08-05 09:51:00,bearish,1.15534,1.15599,1.15456,1.2,win,12.0,1.1999999999999318,-0.07692307692289298,1.2,6429.486390844342,6506.640227534474,77.1538366901321
2025-08-05 09:49:00,2025-08-05 09:51:00,bullish,1.15469,1.1546,1.154798,1.2,loss,2.0,1.0,-1.4444444444452669,-1.0,6506.640227534474,6441.57382525913,-65.06640227534474
2025-08-05 09:59:00,2025-08-05 10:00:00,bullish,1.15508,1.15488,1.1553200000000003,1.2,loss,1.0,0.049999999999167336,-1.3499999999997225,-1.0,6441.57382525913,6377.158087006539,-64.4157382525913
2025-08-05 10:09:00,2025-08-05 10:11:00,bearish,1.15521,1.15553,1.1548260000000001,1.2,loss,2.0,0.18750000000060715,-1.0625000000004337,-1.0,6377.158087006539,6313.386506136474,-63.77158087006539
2025-08-05 10:19:00,2025-08-05 10:20:00,bullish,1.1559,1.15574,1.156092,1.2,win,1.0,1.3125000000007807,-0.18749999999991326,1.2,6313.386506136474,6389.147144210112,75.7606380736377
2025-08-05 10:29:00,2025-08-05 10:32:00,bearish,1.15593,1.15614,1.1556779999999998,1.2,win,3.0,1.4761904761892677,-0.6190476190483744,1.2,6389.147144210112,6465.816909940633,76.66976573052135
2025-08-05 10:39:00,2025-08-05 10:46:00,bearish,1.15548,1.15577,1.1551320000000003,1.2,win,7.0,1.7931034482767334,-0.5862068965519354,1.2,6465.816909940633,6543.406712859921,77.5898029192876
2025-08-05 10:49:00,2025-08-05 10:50:00,bullish,1.15474,1.15468,1.1548120000000004,1.2,loss,1.0,0.0,-15.499999999957442,-1.0,6543.406712859921,6477.972645731322,-65.43406712859921
2025-08-05 10:59:00,2025-08-05 11:16:00,bullish,1.15462,1.15381,1.155592,1.2,loss,17.0,0.3827160493827668,-1.0246913580245798,-1.0,6477.972645731322,6413.192919274009,-64.77972645731322
2025-08-05 11:09:00,2025-08-05 11:13:00,bullish,1.15488,1.15428,1.1555999999999997,1.2,loss,4.0,0.0,-1.1666666666666667,-1.0,6413.192919274009,6349.060990081269,-64.13192919274009
2025-08-05 11:19:00,2025-08-05 11:22:00,bearish,1.15382,1.15439,1.1531360000000002,1.2,loss,3.0,0.01754385964923899,-1.1052631578946548,-1.0,6349.060990081269,6285.570380180456,-63.490609900812686
2025-08-05 11:29:00,2025-08-05 11:32:00,bearish,1.15431,1.15459,1.1539739999999998,1.2,win,3.0,1.2142857142854877,-0.5357142857145123,1.2,6285.570380180456,6360.997224742621,75.42684456216547
2025-08-05 11:39:00,2025-08-05 11:45:00,bearish,1.15382,1.15421,1.1533520000000002,1.2,win,6.0,1.4102564102569357,-0.2307692307690994,1.2,6360.997224742621,6437.329191439533,76.33196669691145
2025-08-05 11:49:00,2025-08-05 11:51:00,bearish,1.15325,1.15351,1.1529380000000002,1.2,loss,2.0,0.07692307692360248,-1.1923076923072982,-1.0,6437.329191439533,6372.955899525138,-64.37329191439534
2025-08-05 11:59:00,2025-08-05 12:00:00,bullish,1.15367,1.15359,1.153766,1.2,loss,1.0,1.2499999999986122,-3.4999999999972244,-1.0,6372.955899525138,6309.226340529887,-63.72955899525138
2025-08-05 12:09:00,2025-08-05 12:16:00,bullish,1.15353,1.15304,1.1541179999999998,1.2,win,7.0,1.2653061224494235,-0.5306122448979407,1.2,6309.226340529887,6384.937056616246,75.71071608635864
2025-08-05 12:19:00,,bullish,1.154,1.15339,1.1547319999999999,1.2,timeout,,0.8196721311478155,-0.08196721311456315,0.0,6384.937056616246,6384.937056616246,0.0
2025-08-05 12:29:00,2025-08-05 12:30:00,bearish,1.15435,1.15443,1.154254,1.2,win,1.0,2.4999999999972244,0.0,1.2,6384.937056616246,6461.556301295641,76.61924467939495
2025-08-05 12:39:00,2025-08-05 12:47:00,bearish,1.15409,1.15432,1.1538140000000001,1.2,loss,8.0,1.0869565217397181,-1.7826086956526357,-1.0,6461.556301295641,6396.940738282685,-64.61556301295641
2025-08-05 12:49:00,2025-08-05 13:09:00,bullish,1.15451,1.15386,1.1552899999999997,1.2,loss,20.0,0.2153846153847205,-1.030769230769441,-1.0,6396.940738282685,6332.971330899858,-63.96940738282685
2025-08-05 12:59:00,2025-08-05 13:11:00,bearish,1.15422,1.15464,1.153716,1.2,win,12.0,1.3095238095236585,-0.619047619047317,1.2,6332.971330899858,6408.966986870656,75.9956559707983
2025-08-05 13:09:00,,bearish,1.15387,1.1544,1.1532339999999999,1.2,timeout,,0.8113207547166333,-0.6226415094336856,0.0,6408.966986870656,6408.966986870656,0.0
2025-08-05 13:19:00,2025-08-05 13:21:00,bearish,1.15394,1.1542,1.153628,1.2,win,2.0,1.4230769230772515,0.0,1.2,6408.966986870656,6485.874590713104,76.90760384244787
2025-08-05 13:29:00,2025-08-05 13:34:00,bearish,1.15355,1.15401,1.1529980000000002,1.2,loss,5.0,0.28260869565263563,-1.4565217391306238,-1.0,6485.874590713104,6421.015844805973,-64.85874590713104
2025-08-05 13:39:00,,bullish,1.15446,1.15363,1.1554560000000003,1.2,timeout,,0.14457831325287024,-0.32530120481922553,0.0,6421.015844805973,6421.015844805973,0.0
2025-08-05 13:49:00,2025-08-05 13:58:00,bearish,1.15421,1.15454,1.1538140000000001,1.2,loss,9.0,0.06060606060579554,-1.1212121212122639,-1.0,6421.015844805973,6356.805686357913,-64.21015844805973
2025-08-05 13:59:00,2025-08-05 14:00:00,bearish,1.15442,1.1545,1.154324,1.2,win,1.0,2.4999999999972244,0.0,1.2,6356.805686357913,6433.087354594208,76.28166823629495
2025-08-05 14:09:00,2025-08-05 14:22:00,bearish,1.15378,1.1545,1.152916,1.2,loss,13.0,0.055555555555606956,-1.0277777777776493,-1.0,6433.087354594208,6368.756481048265,-64.33087354594208
2025-08-05 14:19:00,2025-08-05 14:23:00,bullish,1.15416,1.15379,1.154604,1.2,win,4.0,1.3513513513512703,-0.10810810810822165,1.2,6368.756481048265,6445.181558820845,76.42507777257919
2025-08-05 14:29:00,2025-08-05 14:30:00,bullish,1.15438,1.15433,1.15444,1.2,loss,1.0,0.0,-3.000000000004441,-1.0,6445.181558820845,6380.729743232636,-64.45181558820845
2025-08-05 14:39:00,,bearish,1.15284,1.15431,1.1510760000000002,1.2,timeout,,0.006802721088480587,-0.7823129251701317,0.0,6380.729743232636,6380.729743232636,0.0
2025-08-05 14:49:00,2025-08-05 15:08:00,bullish,1.15365,1.15288,1.1545740000000002,1.2,win,19.0,1.441558441558071,-0.44155844155835916,1.2,6380.729743232636,6457.298500151427,76.56875691879162
2025-08-05 14:59:00,2025-08-05 15:00:00,bullish,1.15397,1.1538,1.154174,1.2,loss,1.0,0.3529411764702809,-1.647058823528413,-1.0,6457.298500151427,6392.725515149913,-64.57298500151427
2025-08-05 15:09:00,2025-08-05 15:10:00,bearish,1.1546,1.1547,1.1544800000000002,1.2,win,1.0,1.9000000000015542,0.0,1.2,6392.725515149913,6469.438221331712,76.71270618179895
2025-08-05 15:19:00,2025-08-05 15:21:00,bullish,1.1539,1.15357,1.1542959999999998,1.2,loss,2.0,1.0000000000006728,-1.242424242424528,-1.0,6469.438221331712,6404.743839118395,-64.69438221331713
2025-08-05 15:29:00,2025-08-05 15:30:00,bullish,1.15368,1.15352,1.153872,1.2,loss,1.0,0.12499999999947958,-1.9375000000009541,-1.0,6404.743839118395,6340.696400727211,-64.04743839118395
2025-08-05 15:39:00,2025-08-05 15:43:00,bearish,1.15318,1.15384,1.1523880000000002,1.2,loss,4.0,0.12121212121226393,-1.075757575757749,-1.0,6340.696400727211,6277.289436719939,-63.40696400727211
2025-08-05 15:49:00,2025-08-05 15:50:00,bullish,1.1541,1.15382,1.1544359999999998,1.2,loss,1.0,0.0,-2.2142857142864507,-1.0,6277.289436719939,6214.51654235274,-62.77289436719939
2025-08-05 15:59:00,2025-08-05 16:00:00,bullish,1.15372,1.15361,1.153852,1.2,win,1.0,1.45454545454417,-0.54545454545583,1.2,6214.51654235274,6289.090740860973,74.57419850823287
2025-08-05 16:09:00,2025-08-05 16:12:00,bearish,1.15385,1.15414,1.1535020000000002,1.2,loss,3.0,0.10344827586201616,-1.2413793103449595,-1.0,6289.090740860973,6226.199833452363,-62.89090740860973
2025-08-05 16:19:00,2025-08-05 16:21:00,bearish,1.15427,1.15445,1.154054,1.2,loss,2.0,0.27777777777702395,-1.1111111111117964,-1.0,6226.199833452363,6163.937835117839,-62.26199833452363
2025-08-05 16:29:00,2025-08-05 16:39:00,bullish,1.15508,1.15481,1.1554040000000003,1.2,win,10.0,1.370370370369213,-0.9259259259254995,1.2,6163.937835117839,6237.9050891392535,73.96725402141406
2025-08-05 16:39:00,2025-08-05 16:42:00,bullish,1.15529,1.1549,1.1557579999999998,1.2,loss,3.0,0.0,-1.0,-1.0,6237.9050891392535,6175.526038247861,-62.37905089139254
2025-08-05 16:49:00,2025-08-05 16:50:00,bearish,1.15459,1.15487,1.154254,1.2,win,1.0,2.249999999999207,0.0,1.2,6175.526038247861,6249.6323507068355,74.10631245897433
2025-08-05 16:59:00,2025-08-05 17:00:00,bullish,1.15339,1.1533,1.153498,1.2,win,1.0,27.22222222224607,0.0,1.2,6249.6323507068355,6324.627938915318,74.99558820848202
2025-08-05 17:09:00,2025-08-05 17:10:00,bullish,1.1545,1.15413,1.154944,1.2,loss,1.0,0.0,-2.054054054054411,-1.0,6324.627938915318,6261.381659526165,-63.24627938915318
2025-08-05 17:19:00,2025-08-05 17:22:00,bearish,1.15405,1.15452,1.153486,1.2,win,3.0,1.425531914893597,-0.14893617021280617,1.2,6261.381659526165,6336.518239440479,75.13657991431398
2025-08-05 17:29:00,2025-08-05 17:43:00,bullish,1.15439,1.15352,1.1554339999999999,1.2,win,14.0,1.4137931034484694,-0.5517241379311225,1.2,6336.518239440479,6412.556458313765,76.03821887328574
2025-08-05 17:39:00,2025-08-05 17:42:00,bullish,1.15456,1.15407,1.155148,1.2,win,3.0,1.489795918366829,-0.10204081632672482,1.2,6412.556458313765,6489.50713581353,76.95067749976518
2025-08-05 17:49:00,2025-08-05 17:50:00,bullish,1.15546,1.15525,1.1557119999999996,1.2,win,1.0,1.2380952380970003,-0.5714285714285714,1.2,6489.50713581353,6567.381221443293,77.87408562976235
2025-08-05 17:59:00,2025-08-05 18:00:00,bearish,1.15652,1.15657,1.1564599999999998,1.2,loss,1.0,0.5999999999982236,-2.999999999995559,-1.0,6567.381221443293,6501.70740922886,-65.67381221443293
2025-08-05 18:09:00,,bullish,1.1577,1.15641,1.159248,1.2,timeout,,0.596899224806319,-0.14728682170535698,0.0,6501.70740922886,6501.70740922886,0.0
2025-08-05 18:19:00,2025-08-05 18:20:00,bullish,1.15781,1.15762,1.158038,1.2,win,1.0,1.4210526315795624,0.0,1.2,6501.70740922886,6579.727898139607,78.02048891074632
2025-08-05 18:29:00,2025-08-05 18:32:00,bullish,1.15793,1.15767,1.1582419999999998,1.2,loss,3.0,0.8846153846163043,-1.4230769230772515,-1.0,6579.727898139607,6513.930619158211,-65.79727898139606
2025-08-05 18:39:00,2025-08-05 18:40:00,bearish,1.15776,1.15798,1.1574959999999999,1.2,loss,1.0,0.227272727272085,-1.7727272727269057,-1.0,6513.930619158211,6448.7913129666285,-65.13930619158211
2025-08-05 18:49:00,2025-08-05 19:00:00,bearish,1.15753,1.1582,1.156726,1.2,loss,11.0,0.07462686567147361,-1.0,-1.0,6448.7913129666285,6384.303399836962,-64.48791312966628
2025-08-05 18:59:00,2025-08-05 19:00:00,bullish,1.15796,1.15789,1.158044,1.2,loss,1.0,3.4285714285678033,-1.4285714285741475,-1.0,6384.303399836962,6320.460365838592,-63.84303399836962
2025-08-05 19:09:00,2025-08-05 19:18:00,bullish,1.15838,1.15807,1.158752,1.2,loss,9.0,0.4193548387095157,-1.8387096774190315,-1.0,6320.460365838592,6257.255762180206,-63.20460365838592
2025-08-05 19:19:00,2025-08-05 19:30:00,bearish,1.15782,1.15841,1.1571120000000001,1.2,loss,11.0,0.1186440677966612,-1.0169491525424876,-1.0,6257.255762180206,6194.683204558404,-62.57255762180206
2025-08-05 19:29:00,2025-08-05 19:30:00,bullish,1.15823,1.15814,1.1583380000000003,1.2,win,1.0,2.111111111106725,-0.11111111111165937,1.2,6194.683204558404,6269.019403013105,74.33619845470085
2025-08-05 19:39:00,2025-08-05 19:42:00,bearish,1.15832,1.15852,1.15808,1.2,win,3.0,1.200000000000222,-0.14999999999988897,1.2,6269.019403013105,6344.247635849262,75.22823283615726
2025-08-05 19:49:00,2025-08-05 20:02:00,bullish,1.15822,1.15799,1.158496,1.2,loss,13.0,0.6956521739129176,-1.8695652173913884,-1.0,6344.247635849262,6280.805159490769,-63.44247635849263
2025-08-05 19:59:00,2025-08-05 20:00:00,bullish,1.15828,1.15819,1.158388,1.2,loss,1.0,0.1111111111119335,-1.222222222223867,-1.0,6280.805159490769,6217.9971078958615,-62.808051594907695
2025-08-05 20:09:00,,bullish,1.15812,1.15781,1.158492,1.2,timeout,,0.7419354838707367,-0.8064516129034106,0.0,6217.9971078958615,6217.9971078958615,0.0
2025-08-05 20:19:00,,bullish,1.15811,1.15788,1.158386,1.2,timeout,,1.043478260869859,-0.8695652173913883,0.0,6217.9971078958615,6217.9971078958615,0.0
